Time Series,Ground Truth,Max Eigen Ratio,Variance of Eigen Ratio,Normalized Area Under Eigen Ratio,Min Eigen Threshold Value
a3.777778,NON-STOCHASTIC,29.191410575278727,20.037877665414236,21.40246405336416,5
lorenz,NON-STOCHASTIC,546.2920907379616,3794.9566649597778,50.31153255517277,5
a3.722222,NON-STOCHASTIC,10.890666249498471,2.2130268148645915,17.170072654634886,5
a3.666667,NON-STOCHASTIC,325.6179534493502,333.0608570448772,20.39689362542721,5
a3.611111,NON-STOCHASTIC,118.16381696666787,91.58652322760331,15.994406089756522,5
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7131032408151182,12.98267957608334,5
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,5
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,5
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,5
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6450798924486908,12.684405480857507,5
a3.944444,NON-STOCHASTIC,27.567562047260115,12.754127921005235,19.564884687662925,5
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,5
a3.888889,NON-STOCHASTIC,17.164653710030958,6.987345862231339,17.098176907601264,5
a4.000000,NON-STOCHASTIC,43.17789725378,46.77203566276373,19.9199304590718,5
a3.777778,NON-STOCHASTIC,29.191410575278727,16.60380149819513,22.075759533899408,6
lorenz,NON-STOCHASTIC,546.2920907379616,4087.2383898887933,55.55874447582106,6
a3.722222,NON-STOCHASTIC,10.890666249498471,2.125282316611668,17.733991927837366,6
a3.666667,NON-STOCHASTIC,325.6179534493502,249.91296918200817,23.056469300478586,6
a3.611111,NON-STOCHASTIC,118.16381696666787,87.45128829187212,17.02898589469943,6
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,6
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,6
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,6
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,6
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6433931726597127,12.703224481219888,6
a3.944444,NON-STOCHASTIC,27.567562047260115,11.079338251679149,20.661715090544362,6
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,6
a3.888889,NON-STOCHASTIC,17.164653710030958,6.734725235424726,18.61823203777903,6
a4.000000,NON-STOCHASTIC,43.17789725378,36.25343513634356,26.03970314185417,6
a3.777778,NON-STOCHASTIC,29.191410575278727,14.404560452106383,24.00776121585122,7
lorenz,NON-STOCHASTIC,546.2920907379616,3880.834250563375,58.21188986058206,7
a3.722222,NON-STOCHASTIC,10.890666249498471,2.118824335509403,17.83192529163766,7
a3.666667,NON-STOCHASTIC,325.6179534493502,248.81010851744426,23.097501921222133,7
a3.611111,NON-STOCHASTIC,118.16381696666787,84.94357544499101,17.26480190717996,7
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,7
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,7
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,7
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,7
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6433931726597127,12.703224481219888,7
a3.944444,NON-STOCHASTIC,27.567562047260115,9.775792286322378,21.610842721233027,7
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,7
a3.888889,NON-STOCHASTIC,17.164653710030958,7.801900935526591,21.423040915111557,7
a4.000000,NON-STOCHASTIC,43.17789725378,32.60244767241843,28.390158270945562,7
a3.777778,NON-STOCHASTIC,29.191410575278727,13.90214703193613,26.260278654856187,8
lorenz,NON-STOCHASTIC,1190.57809226441,7417.9290501563555,65.64056284604872,8
a3.722222,NON-STOCHASTIC,15.642543658928464,2.5531498171350835,19.173770949643387,8
a3.666667,NON-STOCHASTIC,325.6179534493502,245.4007766331659,23.156442686056803,8
a3.611111,NON-STOCHASTIC,118.16381696666787,86.16696217423068,17.720817702766727,8
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,8
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,8
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,8
