Timeseries,Ground Truth,Max Eigen Ratio,Variance of Eigen Ratio,Normalized Area Under Eigen Ratio,Eigen Ratio on Embedded Vectors
Lorenz,NON-ST,4105.394964158374,50238.85231378671,61.58152851002895,4.685487221239377
Phi,STOCHASTIC,6.732195218421937,0.515617228917767,21.482484376547582,3.0237481548619782
Gamma,STOCHASTIC,11.482721967832456,1.053083730244394,23.210147085979354,2.7105180395473343
Delta,STOCHASTIC,42.57641900232727,9.749115914689828,37.594542006658486,6.075603471745714
Kai,STOCHASTIC,5.607888169121582,0.2593227055517006,8.653696967498043,1.1608743748280455
Lordata,NON-ST,9.21734842395381,0.819999721623505,7.511442663163792,1.1137928863309443
Beta,NON-ST,214.2808838248748,483.7310754137665,61.606268955998836,13.375415166971584
Theta,NON-ST,577.9542401440307,778.632215383095,83.21749494816022,7.31442097243503
Alpha,NON-ST,29.270307845511386,1.9160367152443136,39.67425755300641,6.134278242039648
Rho,NON-ST,57.56015562816245,147.8199675344818,50.25067801689457,4.310497259325131
Lambda,NON-ST,621.3203089636141,6782.757953230075,450.0739288347374,13.325871118415511
Mu,NON-ST,56.27518271580026,51.044110640521936,17.31917791824449,13.73237826177858
Kappa,NON-ST,755.882998681802,5199.703211004899,206.64431067792532,16.537323856594845
Nu,NON-ST,32.33352521238549,31.90481330765681,22.928650095821602,3.917860400224316
