Time Series,Ground Truth,Max Eigen Ratio,Variance of Eigen Ratio,Normalized Area Under Eigen Ratio,Min Eigen Threshold Value
x00.085000,NON-STOCHASTIC,21.042881818577793,13.402835420809216,17.84429790260789,5
x00.760000,NON-STOCHASTIC,30.413432605006157,18.0606564355201,17.54193640914375,5
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7131032408151182,12.98267957608334,5
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,5
x00.910000,NON-STOCHASTIC,31.074225755274664,20.771637588773295,15.249665884354291,5
x00.310000,NON-STOCHASTIC,44.18434966494177,34.01508266489545,13.832570502357157,5
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,5
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,5
x00.685000,NON-STOCHASTIC,22.16105591970619,11.499352069337,18.72808208694956,5
x00.160000,NON-STOCHASTIC,16.83237032847154,9.472285279428677,15.531543175902074,5
beta_0.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6450798924486908,12.684405480857507,5
beta_0.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,5
beta_1.000000_random_state_0,STOCHASTIC,6.8094093653950765,0.7413063702836553,13.442351071201818,5
x00.610000,NON-STOCHASTIC,16.79097296696215,17.945856923318097,16.214404359755132,5
beta_1.000000_random_state_1,STOCHASTIC,7.0295110664669345,0.6450798924486908,12.684405480857507,5
beta_1.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,5
beta_1.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,5
x00.460000,NON-STOCHASTIC,31.153435895521234,20.27735774976581,22.0016195940478,5
x00.535000,NON-STOCHASTIC,85.87975365618689,94.16953821581178,23.770155728573428,5
beta_1.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,5
x00.385000,NON-STOCHASTIC,21.168443177350852,19.14514501777064,17.591712616843925,5
beta_1.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7131032408151182,12.98267957608334,5
x00.235000,NON-STOCHASTIC,32.23470668880337,23.785757163635836,19.035590515568835,5
x00.835000,NON-STOCHASTIC,29.5118548803338,22.874799893119615,15.96586159190731,5
x00.010000,NON-STOCHASTIC,26.58720206976157,19.061328966192015,19.76796770978426,5
x00.085000,NON-STOCHASTIC,21.042881818577793,12.740336979647592,19.372829409542323,6
x00.760000,NON-STOCHASTIC,35.00949703791019,20.520350156832297,22.29091638416456,6
beta_0.000000_random_state_4,STOCHASTIC,7.26225835343646,0.7138815971897098,13.00037264381534,6
beta_0.000000_random_state_5,STOCHASTIC,6.293197090722552,0.7289521851194578,13.248477094031392,6
x00.910000,NON-STOCHASTIC,31.074225755274664,16.17037083017435,19.220879986486942,6
x00.310000,NON-STOCHASTIC,44.18434966494177,31.99498168952682,19.64150192084975,6
beta_0.000000_random_state_2,STOCHASTIC,13.378100941350997,0.9082038255445285,13.225815436728995,6
beta_0.000000_random_state_3,STOCHASTIC,6.963122569689844,0.6477339455750387,13.18377094322847,6
